timestamp,alpha,beta,theta,diff
2024-11-08|13:27:22.023,0.2349,0.6144,0.4650,24.0000
2024-11-08|13:27:22.226,0.2349,0.6192,0.4164,24.0000
2024-11-08|13:27:22.429,0.2349,0.6109,0.3745,24.0000
2024-11-08|13:27:22.631,0.2349,0.6109,0.3745,24.0000
2024-11-08|13:27:22.834,0.2349,0.6002,0.3391,24.0000
2024-11-08|13:27:23.037,0.2349,0.5948,0.1606,24.0000
2024-11-08|13:27:23.241,0.2277,0.6100,-0.0126,24.0000
2024-11-08|13:27:23.445,0.2052,0.6201,0.1214,24.0000
2024-11-08|13:27:23.662,0.1946,0.6294,0.2149,24.0000
2024-11-08|13:27:23.887,0.1946,0.6294,0.2149,24.0000
2024-11-08|13:27:24.091,0.1713,0.6357,0.2149,24.0000
2024-11-08|13:27:24.296,0.0976,0.6370,0.2725,24.0000
2024-11-08|13:27:24.499,0.0121,0.6324,0.2710,24.0000
2024-11-08|13:27:24.702,0.0121,0.6324,0.2710,24.0000
2024-11-08|13:27:24.906,-0.0398,0.6227,0.2742,24.0000
2024-11-08|13:27:25.105,-0.0674,0.6185,0.3172,24.0000
2024-11-08|13:27:25.307,-0.0609,0.6077,0.3826,24.0000
2024-11-08|13:27:25.510,-0.0484,0.5907,0.4514,24.0000
2024-11-08|13:27:25.711,-0.0472,0.5706,0.5042,24.0000
2024-11-08|13:27:25.914,-0.0472,0.5706,0.5042,24.0000
2024-11-08|13:27:26.117,-0.0858,0.5525,0.5365,24.0000
2024-11-08|13:27:26.319,-0.1809,0.5528,0.5606,24.0000
2024-11-08|13:27:26.522,-0.2678,0.5564,0.5868,24.0000
2024-11-08|13:27:26.722,-0.2249,0.5555,0.6095,24.0000
2024-11-08|13:27:26.926,-0.1681,0.5452,0.6205,24.0000
2024-11-08|13:27:27.128,-0.1681,0.5452,0.6205,24.0000
2024-11-08|13:27:27.329,-0.1073,0.5259,0.6173,24.0000
2024-11-08|13:27:27.532,-0.0630,0.4991,0.6094,24.0000
2024-11-08|13:27:27.734,-0.0430,0.4661,0.6124,24.0000
2024-11-08|13:27:27.938,-0.0250,0.4314,0.6365,24.0000
2024-11-08|13:27:28.141,-0.0002,0.4042,0.6771,24.0000
2024-11-08|13:27:28.347,-0.0002,0.4042,0.6771,24.0000
2024-11-08|13:27:28.550,0.0171,0.3922,0.7235,24.0000
2024-11-08|13:27:28.752,0.0222,0.3918,0.7586,24.0000
2024-11-08|13:27:28.954,0.0526,0.3918,0.7586,24.0000
2024-11-08|13:27:29.158,0.1341,0.3918,0.7586,24.0000
2024-11-08|13:27:29.360,0.2268,0.3918,0.7586,24.0000
2024-11-08|13:27:29.561,0.2828,0.3918,0.7586,24.0000
2024-11-08|13:27:29.765,0.2857,0.6225,0.7629,24.0000
2024-11-08|13:27:29.970,0.2857,0.6225,0.7629,24.0000
2024-11-08|13:27:30.173,0.2857,0.6255,0.7491,24.0000
2024-11-08|13:27:30.374,0.2857,0.6073,0.7249,24.0000
2024-11-08|13:27:30.577,0.2857,0.5802,0.7068,24.0000
2024-11-08|13:27:30.782,0.2857,0.5553,0.6979,24.0000
2024-11-08|13:27:30.985,0.2956,0.5363,0.6998,24.0000
2024-11-08|13:27:31.187,0.2956,0.5363,0.6998,24.0000
2024-11-08|13:27:31.391,0.3161,0.5218,0.7103,24.0000
2024-11-08|13:27:31.593,0.3316,0.5138,0.7193,24.0000
2024-11-08|13:27:31.793,0.3319,0.5152,0.7159,24.0000
2024-11-08|13:27:31.997,0.3319,0.5224,0.6987,24.0000
2024-11-08|13:27:32.199,0.3319,0.5272,0.6739,24.0000
2024-11-08|13:27:32.401,0.3319,0.5246,0.6739,24.0000
2024-11-08|13:27:32.605,0.3319,0.5246,0.6491,24.0000
2024-11-08|13:27:32.808,0.3319,0.5212,0.6331,24.0000
2024-11-08|13:27:33.010,0.3306,0.5084,0.5976,24.0000
2024-11-08|13:27:33.212,0.2960,0.4892,0.5447,24.0000
2024-11-08|13:27:33.415,0.1913,0.4677,0.5447,24.0000
2024-11-08|13:27:33.618,0.1913,0.4677,0.4887,24.0000
2024-11-08|13:27:33.820,0.0933,0.4505,0.4429,24.0000
2024-11-08|13:27:34.022,0.0607,0.4428,0.4049,24.0000
2024-11-08|13:27:34.223,0.1125,0.4466,0.3668,24.0000
2024-11-08|13:27:34.425,0.1803,0.4594,0.3255,24.0000
2024-11-08|13:27:34.628,0.2176,0.4763,0.2732,24.0000
2024-11-08|13:27:34.830,0.2359,0.4931,0.1983,24.0000
2024-11-08|13:27:35.031,0.2359,0.4931,0.1983,24.0000
2024-11-08|13:27:35.232,0.2415,0.5041,0.1040,24.0000
2024-11-08|13:27:35.435,0.2253,0.5046,0.0221,24.0000
2024-11-08|13:27:35.636,0.1965,0.4940,-0.0138,24.0000
2024-11-08|13:27:35.840,0.1766,0.4773,-0.0119,24.0000
2024-11-08|13:27:36.040,0.1577,0.4619,-0.0036,24.0000
2024-11-08|13:27:36.258,0.1569,0.4508,0.0009,24.0000
2024-11-08|13:27:36.461,0.1569,0.4508,0.0009,24.0000
2024-11-08|13:27:36.665,0.1608,0.4416,0.0046,24.0000
2024-11-08|13:27:36.867,0.1655,0.4327,0.0130,24.0000
2024-11-08|13:27:37.069,0.1660,0.4257,0.0268,24.0000
2024-11-08|13:27:37.273,0.1660,0.4225,0.0412,24.0000
2024-11-08|13:27:37.475,0.1664,0.4227,0.0522,24.0000
2024-11-08|13:27:37.679,0.1671,0.4246,0.0558,24.0000
2024-11-08|13:27:37.880,0.1671,0.4246,0.0558,24.0000
2024-11-08|13:27:38.081,0.1671,0.4163,0.0567,24.0000
2024-11-08|13:27:38.283,0.1441,0.3991,0.0437,24.0000
2024-11-08|13:27:38.485,0.1174,0.3759,0.0212,24.0000
2024-11-08|13:27:38.689,0.1191,0.3505,-0.0038,24.0000
2024-11-08|13:27:38.891,0.1191,0.3505,-0.0038,24.0000
2024-11-08|13:27:39.094,0.1314,0.3267,-0.0258,24.0000
2024-11-08|13:27:39.296,0.1446,0.3102,-0.0450,24.0000
2024-11-08|13:27:39.500,0.1193,0.3090,-0.0628,24.0000
2024-11-08|13:27:39.701,0.0897,0.3251,-0.0775,24.0000
2024-11-08|13:27:39.903,0.0706,0.3507,-0.0895,24.0000
2024-11-08|13:27:40.107,0.0628,0.3749,-0.0987,24.0000
2024-11-08|13:27:40.324,0.0624,0.3928,-0.0987,24.0000
2024-11-08|13:27:40.525,0.0624,0.3928,-0.1093,24.0000
2024-11-08|13:27:40.730,0.0515,0.3928,-0.1093,24.0000
2024-11-08|13:27:40.929,0.0434,0.3928,-0.1093,24.0000
2024-11-08|13:27:41.133,0.0232,0.3928,-0.1093,24.0000
2024-11-08|13:27:41.338,-0.0066,0.3928,-0.1093,24.0000
2024-11-08|13:27:41.542,-0.0066,0.3928,-0.1093,24.0000
2024-11-08|13:27:41.743,-0.0267,0.3928,-0.1093,24.0000
2024-11-08|13:27:41.944,-0.0610,0.3928,-0.1093,24.0000
2024-11-08|13:27:42.148,-0.0612,0.5848,0.6725,24.0000
2024-11-08|13:27:42.350,0.0583,0.5463,0.6085,24.0000
2024-11-08|13:27:42.569,0.1841,0.5110,0.5497,24.0000
2024-11-08|13:27:42.773,0.2292,0.5110,0.5497,24.0000
2024-11-08|13:27:42.976,0.2292,0.5110,0.5497,24.0000
2024-11-08|13:27:43.178,0.2217,0.5110,0.5497,24.0000
2024-11-08|13:27:43.381,0.2000,0.5110,0.5497,24.0000
2024-11-08|13:27:43.585,0.2162,0.5110,0.5497,24.0000
2024-11-08|13:27:43.786,0.3013,0.5110,0.5497,24.0000
2024-11-08|13:27:43.990,0.3013,0.5110,0.5497,24.0000
2024-11-08|13:27:44.191,0.3013,0.5110,0.5497,24.0000
2024-11-08|13:27:44.394,0.3013,0.5110,0.5497,24.0000
2024-11-08|13:27:44.595,0.3013,0.5110,0.5497,24.0000
2024-11-08|13:27:44.795,0.3013,0.5110,0.5497,24.0000
2024-11-08|13:27:44.998,0.3154,0.4482,0.5075,24.0000
2024-11-08|13:27:45.199,0.3154,0.3961,0.4113,24.0000
2024-11-08|13:27:45.401,0.3154,0.3961,0.4113,24.0000
2024-11-08|13:27:45.603,0.3158,0.3961,0.4113,24.0000
2024-11-08|13:27:45.805,0.3176,0.3961,0.4113,24.0000
2024-11-08|13:27:46.022,0.3176,0.3961,0.4113,24.0000
2024-11-08|13:27:46.225,0.3176,0.3961,0.4113,24.0000
2024-11-08|13:27:46.427,0.2943,0.3961,0.4113,24.0000
2024-11-08|13:27:46.630,0.2943,0.3961,0.4113,24.0000
