timestamp,alpha,beta,theta,diff
2024-11-08|16:22:51.365,0.1133,0.5853,0.5004,100.0000
2024-11-08|16:22:51.565,0.1133,0.5853,0.5004,100.0000
2024-11-08|16:22:51.768,0.1133,0.5853,0.5004,100.0000
2024-11-08|16:22:51.971,-0.0082,0.4351,-0.3540,100.0000
2024-11-08|16:22:52.174,0.0208,0.3978,-0.3525,100.0000
2024-11-08|16:22:52.376,0.0591,0.3611,-0.3547,100.0000
2024-11-08|16:22:52.580,0.0703,0.3326,-0.3642,100.0000
2024-11-08|16:22:52.784,0.0703,0.3326,-0.3642,100.0000
2024-11-08|16:22:52.986,0.0703,0.3222,-0.3800,100.0000
2024-11-08|16:22:53.190,0.0703,0.3307,-0.3906,100.0000
2024-11-08|16:22:53.393,0.0732,0.3469,-0.3871,100.0000
2024-11-08|16:22:53.594,0.0979,0.3568,-0.3702,100.0000
2024-11-08|16:22:53.797,0.1287,0.3538,-0.3469,100.0000
2024-11-08|16:22:53.999,0.1287,0.3538,-0.3469,100.0000
2024-11-08|16:22:54.201,0.1354,0.3401,-0.3242,100.0000
2024-11-08|16:22:54.402,0.1378,0.3215,-0.3060,100.0000
2024-11-08|16:22:54.603,0.1378,0.3030,-0.2928,100.0000
2024-11-08|16:22:54.808,0.1378,0.2625,-0.2808,100.0000
2024-11-08|16:22:55.012,0.1378,0.2323,-0.2641,100.0000
2024-11-08|16:22:55.216,0.1378,0.2323,-0.2641,100.0000
2024-11-08|16:22:55.419,0.1219,0.2152,-0.2407,100.0000
2024-11-08|16:22:55.637,0.0772,0.2096,-0.2116,100.0000
2024-11-08|16:22:55.840,0.0423,0.2144,-0.1808,100.0000
2024-11-08|16:22:56.041,0.0163,0.2265,-0.1467,100.0000
2024-11-08|16:22:56.244,0.0147,0.2391,-0.1039,100.0000
2024-11-08|16:22:56.446,0.0403,0.2457,-0.0470,100.0000
2024-11-08|16:22:56.648,0.1038,0.2457,-0.0470,100.0000
2024-11-08|16:22:56.852,0.1038,0.2461,0.0210,100.0000
2024-11-08|16:22:57.055,0.2305,0.2505,0.0958,100.0000
2024-11-08|16:22:57.258,0.3158,0.2784,0.1727,100.0000
2024-11-08|16:22:57.461,0.3884,0.3409,0.2418,100.0000
2024-11-08|16:22:57.665,0.3884,0.3527,0.2590,100.0000
2024-11-08|16:22:57.870,0.3884,0.3723,0.2780,100.0000
2024-11-08|16:22:58.070,0.3884,0.3958,0.2998,100.0000
2024-11-08|16:22:58.277,0.3884,0.3958,0.2998,100.0000
2024-11-08|16:22:58.480,0.3884,0.4205,0.3246,100.0000
2024-11-08|16:22:58.684,0.3884,0.4449,0.3518,100.0000
2024-11-08|16:22:58.888,0.3884,0.4683,0.3518,100.0000
2024-11-08|16:22:59.091,0.3884,0.4911,0.4106,100.0000
2024-11-08|16:22:59.295,0.3884,0.5150,0.4442,100.0000
2024-11-08|16:22:59.496,0.3884,0.5150,0.4825,100.0000
2024-11-08|16:22:59.699,0.3884,0.5428,0.4825,100.0000
2024-11-08|16:22:59.900,0.3884,0.5779,0.5248,100.0000
2024-11-08|16:23:00.105,0.3884,0.6226,0.5676,100.0000
2024-11-08|16:23:00.307,0.3884,0.6226,0.5676,100.0000
2024-11-08|16:23:00.512,0.3884,0.6226,0.5676,100.0000
2024-11-08|16:23:00.715,0.3884,0.6226,0.5676,100.0000
2024-11-08|16:23:00.919,0.3884,0.6226,0.5676,100.0000
2024-11-08|16:23:01.123,0.3884,0.6226,0.5676,100.0000
2024-11-08|16:23:01.324,0.3884,0.6226,0.5676,100.0000
2024-11-08|16:23:01.526,0.3884,0.6226,0.5676,100.0000
2024-11-08|16:23:01.731,0.3884,0.6226,0.5676,100.0000
2024-11-08|16:23:01.931,0.3884,0.6226,0.5676,100.0000
2024-11-08|16:23:02.134,0.3884,0.6226,0.5676,100.0000
2024-11-08|16:23:02.338,0.3884,0.6226,0.5676,100.0000
2024-11-08|16:23:02.543,0.3309,0.4207,0.6539,100.0000
2024-11-08|16:23:02.746,0.3550,0.4247,0.7063,100.0000
2024-11-08|16:23:02.948,0.3641,0.4201,0.7207,100.0000
2024-11-08|16:23:03.149,0.3670,0.4022,0.6990,100.0000
2024-11-08|16:23:03.350,0.3670,0.4022,0.6990,100.0000
