TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements
43:29.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/event/connected Muse-19E7
43:30.4,0.700648013,0.805462189,0.515249711,0.447448057,0.602261815,0.007672832,-0.323352318,0.303778603,1.175713466,0.080487627,0.209567903,1.290695772,0.309916586,0.295245289,0.24605315,0.458826873,-0.048186549,-0.003222333,-0.176519632,0.019268235,800.6227106,794.981685,792.5641026,801.8315018,652.7472527,-0.465454,0.086609,0.895203,4.807587,-6.863708,-4.658051,1,1,1,1,1,65,
43:31.4,0.921519331,0.748255584,0.79419983,0.445006634,0.577453553,0.141225252,-0.019977939,0.426180924,0.970028446,0.260465746,0.234192058,0.761194954,0.173283787,0.283251283,0.293548261,0.416143592,-0.075321405,0.045883854,-0.302272457,-0.017369358,789.3406593,779.2673993,796.1904762,794.1758242,566.9230769,-0.465637,0.082886,0.891724,4.762726,-6.893616,-4.545898,1,1,1,1,1,65,
43:32.4,0.849744775,0.590584949,0.648612747,0.566534258,0.551506065,0.059993697,-0.075244432,0.236936401,0.870076552,0.391295214,0.203485617,0.930126531,0.320784458,0.194736791,0.268336605,0.480859333,-0.133641994,0.113309213,-0.208475447,-0.064977791,798.2051282,795.7875458,790.5494505,794.1758242,629.7802198,-0.461792,0.090088,0.894409,4.882355,-7.574005,-3.977661,1,1,1,1,1,65,
43:33.4,0.239464847,0.162654348,0.141983186,-0.016595999,0.139732172,-0.013135087,-0.00069234,0.222655129,1.121465707,0.573847381,0.240075031,1.031741556,0.44419791,0.40596789,0.274512897,0.542750561,-0.187226958,0.013241366,-0.077383806,-0.087254902,793.3699634,774.8351648,798.2051282,810.6959707,1040.769231,-0.46106,0.085938,0.895935,4.725342,-6.74408,-4.628143,1,1,1,1,1,65,
43:34.4,0.652523315,0.406442609,0.167137093,0.129420309,0.310922477,0.267332772,-0.195170896,0.155929127,1.095561924,0.614122246,0.550130678,1.005567719,0.492469826,0.417448532,0.382334015,0.539312031,-0.101383504,0.110045006,0.359524651,-0.034653973,794.1758242,783.6996337,790.952381,788.9377289,669.2673993,-0.461731,0.090942,0.902466,5.054321,-6.654358,-3.686066,1,1,1,1,1,65,
43:35.4,0.799369088,0.445769505,0.246967454,0.716940666,0.419831744,-0.022213275,-0.174453643,0.627091853,0.504785632,0.195671423,0.788060034,0.664664316,0.287082867,0.426874313,1.231299229,0.341256109,-0.044551539,0.147344545,1.000197452,0.015699217,798.6080586,778.0586081,794.981685,796.1904762,621.3186813,-0.439575,0.101562,0.907715,5.308533,-7.192688,-3.491669,1,1,1,1,1,65,
43:36.4,-0.149665801,0.331021387,0.292442732,0.244293404,-0.107211032,-0.43123514,-0.102511642,0.184641016,0.484296948,0.075303652,0.152797052,0.684072611,0.310629184,0.505839095,0.966449378,0.44931063,-0.004040075,0.151134692,0.745114772,0.108268537,804.6520147,788.9377289,803.040293,805.4578755,992.4175824,-0.427979,0.101135,0.915527,4.695435,-6.676788,-4.4487,1,1,1,1,1,65,
43:37.4,-0.180640265,-0.284317557,-0.068652967,-0.121543968,-0.171422092,-0.381733798,-0.125731354,0.080713871,0.346120254,0.233303231,0.404168546,0.397323157,0.186317647,0.373813276,0.908171298,0.304361734,-0.121455267,0.168897828,0.563975426,0.142717737,804.6520147,788.5347985,796.5934066,805.4578755,683.3699634,-0.424316,0.098022,0.917297,4.80011,-7.439423,-4.28421,1,1,1,1,1,65,
43:38.4,-0.129878541,-0.600699626,-0.43992177,-0.119600165,0.07531815,-0.093659781,-0.336086591,0.129270912,0.305527748,0.193173621,0.363466211,0.538896624,0.144369361,0.205261503,0.844647096,0.331429309,-0.054204444,0.215734942,0.701250137,0.181916955,803.4432234,789.3406593,778.4615385,803.040293,714.3956044,-0.420166,0.095886,0.911743,5.024414,-6.848755,-4.673004,1,1,1,1,1,65,
43:39.4,-0.309626183,-0.515844122,-0.433957823,-0.174079709,0.100664583,-0.269461439,-0.47568694,0.123326022,0.36906906,0.138954446,0.027149939,0.424951636,0.231166676,0.268282007,0.79664092,0.28787129,-0.109892305,0.098703448,0.462046027,0.150865862,799.010989,788.9377289,789.3406593,797.3992674,653.956044,-0.416748,0.10199,0.911072,5.054321,-7.416992,-3.813171,1,1,1,1,1,65,
43:40.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
43:40.4,-0.330982283,-0.402791113,-0.315936874,-0.303257464,-0.000670265,-0.495395391,-0.456997467,-0.046663344,0.148061831,0.014820839,-0.115312741,0.388368647,0.269761676,0.276289887,0.752049522,0.253390234,-0.088362874,0.039502385,0.412222293,0.067306911,806.6666667,791.3553114,780.4761905,807.8754579,656.3736264,-0.427795,0.129333,0.910278,4.807587,-7.252502,-4.665527,1,1,1,1,1,60,
43:41.4,-0.467106067,0.00484861,-0.429700808,-0.010903741,-0.140785231,-0.102893414,-0.534303376,-0.253482405,-0.009420989,0.064348205,-0.047011824,0.193939184,0.094026008,0.226041524,0.797312886,0.238269708,-0.27923834,0.129336033,0.506181603,0.034736587,791.3553114,787.3260073,786.5201465,786.9230769,675.7142857,-0.415161,0.127014,0.90979,5.704803,-8.00766,-4.015045,1,1,1,1,1,60,
43:42.4,-0.000500341,-0.339245145,-0.475348062,0.069139069,0.024975264,-0.264959583,-0.245988597,-0.133778197,0.082286072,0.294416942,0.173846722,0.225056539,0.092264679,0.166465569,0.593020733,0.253521878,-0.122547649,0.022418125,0.340816196,0.018859512,803.4432234,792.1611722,799.010989,805.8608059,866.3003663,-0.423767,0.143555,0.908752,4.643097,-6.654358,-5.17395,1,1,1,1,1,60,
43:43.4,-0.104573962,-0.087502491,-0.33594411,0.085658373,0.146841939,0.036919946,-0.090472362,-0.142157044,0.341015669,0.136117096,0.27422201,0.166297361,0.181523072,0.183063129,0.431500411,0.22466044,0.048548519,-0.023948373,0.170753319,0.131305727,750.6593407,797.3992674,803.4432234,757.1062271,819.1575092,-0.434814,0.14093,0.901245,6.803894,-7.476807,-10.086212,1,1,1,1,1,60,
43:44.4,-0.209968591,0.123318085,0.086315038,-0.183751814,0.231998211,0.038581583,0.040325903,-0.167083669,0.306512471,0.158518342,0.446461025,0.034071379,0.276996042,0.2217214,0.557628577,0.24044459,0.102602108,-0.068321768,0.420048282,0.202097949,800.2197802,788.1318681,790.5494505,799.010989,802.2344322,-0.43988,0.125977,0.902954,4.172058,-5.256195,-6.101074,1,1,1,1,1,60,
43:45.4,-0.092814658,-0.041713002,0.096240681,0.365248354,-0.108280577,-0.071344265,-0.080513284,0.308200555,0.538587287,0.269638842,0.409975153,0.493383112,0.244936376,0.121347549,0.481635246,0.437953033,-0.028105719,-0.096423688,0.326521347,0.02500976,803.040293,787.3260073,801.025641,808.2783883,992.4175824,-0.44812,0.12384,0.895081,4.807587,-6.310425,-5.031891,1,1,1,1,1,60,
43:46.4,-0.061054982,-0.013700961,-0.044837793,0.299329075,0.011255827,-0.419445379,-0.110324365,0.308742705,0.536080354,0.215174915,0.262987097,0.478999109,0.236563962,0.178568943,0.519442989,0.307602151,-0.013452494,0.014451723,0.410618665,-0.043793665,798.2051282,791.7582418,787.3260073,795.7875458,705.5311355,-0.449524,0.135925,0.897217,4.80011,-6.048737,-4.059906,1,1,1,1,1,60,
